filename_adv,type_adv,RA_center_adv,DEC_center_adv,sig_adv,Nr_adv,RA_adv,DEC_adv,Roll_adv,base_name,attack,level,filename_gen,type_gen,RA_center_gen,DEC_center_gen,sig_gen,Nr_gen,RA_gen,DEC_gen,Roll_gen,RA_error,DEC_error,Roll_error
20090904_024901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,240.0,-15.0,0.0022453,10.0,232.8592,-18.9559,167.1729,20090904_024901_s4h1A.fts,radiation_streaks,very_subtle,20090904_024901_s4h1A.fts,genuine,240.0,-15.0,0.00098582,15.0,232.8586,-18.953,167.1667,0.0005999999999914962,-0.0029000000000003467,0.006200000000006867
20090904_032901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,,,,,,,,20090904_032901_s4h1A.fts,radiation_streaks,very_subtle,20090904_032901_s4h1A.fts,genuine,240.0,-15.0,0.0014163,13.0,232.8883,-18.9603,167.1731,,,
20090904_040901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,,,,,,,,20090904_040901_s4h1A.fts,radiation_streaks,very_subtle,20090904_040901_s4h1A.fts,genuine,240.0,-15.0,0.0021399,14.0,232.9184,-18.9671,167.1851,,,
20090904_044901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,,,,,,,,20090904_044901_s4h1A.fts,radiation_streaks,very_subtle,20090904_044901_s4h1A.fts,genuine,240.0,-15.0,0.00087329,13.0,232.9481,-18.9736,167.1947,,,
20090904_052901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,240.0,-25.0,0.00014664,11.0,232.9808,-18.9844,167.234,20090904_052901_s4h1A.fts,radiation_streaks,very_subtle,20090904_052901_s4h1A.fts,genuine,240.0,-15.0,0.00096564,13.0,232.978,-18.9799,167.2078,0.0027999999999792635,-0.0045000000000001705,0.0262000000000171
20090904_060901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,240.0,-15.0,0.0010169,13.0,233.0073,-18.9886,167.2151,20090904_060901_s4h1A.fts,radiation_streaks,very_subtle,20090904_060901_s4h1A.fts,genuine,240.0,-15.0,0.0013062,13.0,233.0091,-18.99,167.2253,-0.0018000000000029104,0.0013999999999967372,-0.010199999999997544
20090904_064901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,,,,,,,,20090904_064901_s4h1A.fts,radiation_streaks,very_subtle,20090904_064901_s4h1A.fts,genuine,240.0,-15.0,0.0013762,13.0,233.0394,-18.9975,167.2451,,,
20090904_072901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,,,,,,,,20090904_072901_s4h1A.fts,radiation_streaks,very_subtle,20090904_072901_s4h1A.fts,genuine,240.0,-15.0,0.001553,14.0,233.0689,-19.0035,167.2519,,,
20090904_092901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,,,,,,,,20090904_092901_s4h1A.fts,radiation_streaks,very_subtle,20090904_092901_s4h1A.fts,genuine,,,,,,,,,,
20090904_144901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,,,,,,,,20090904_144901_s4h1A.fts,radiation_streaks,very_subtle,20090904_144901_s4h1A.fts,genuine,240.0,-15.0,0.00085203,11.0,233.3953,-19.0768,167.3304,,,
20090904_184901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,,,,,,,,20090904_184901_s4h1A.fts,radiation_streaks,very_subtle,20090904_184901_s4h1A.fts,genuine,240.0,-25.0,0.0007928,16.0,233.5738,-19.1188,167.3941,,,
20090904_220901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,,,,,,,,20090904_220901_s4h1A.fts,radiation_streaks,very_subtle,20090904_220901_s4h1A.fts,genuine,240.0,-25.0,0.00033753,15.0,233.7248,-19.1524,167.4636,,,
20090904_224901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,,,,,,,,20090904_224901_s4h1A.fts,radiation_streaks,very_subtle,20090904_224901_s4h1A.fts,genuine,240.0,-15.0,0.00074627,13.0,233.7532,-19.1584,167.4559,,,
20090905_004901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,,,,,,,,20090905_004901_s4h1A.fts,radiation_streaks,very_subtle,20090905_004901_s4h1A.fts,genuine,240.0,-15.0,0.00090149,11.0,233.843,-19.1781,167.4906,,,
20090905_024901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,,,,,,,,20090905_024901_s4h1A.fts,radiation_streaks,very_subtle,20090905_024901_s4h1A.fts,genuine,240.0,-25.0,0.00072356,15.0,233.9324,-19.1984,167.518,,,
20090905_040901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,,,,,,,,20090905_040901_s4h1A.fts,radiation_streaks,very_subtle,20090905_040901_s4h1A.fts,genuine,240.0,-15.0,0.00083335,12.0,233.9924,-19.2114,167.5396,,,
20090905_052901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,,,,,,,,20090905_052901_s4h1A.fts,radiation_streaks,very_subtle,20090905_052901_s4h1A.fts,genuine,240.0,-15.0,0.00094121,13.0,234.0517,-19.225,167.5515,,,
20090905_104901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,,,,,,,,20090905_104901_s4h1A.fts,radiation_streaks,very_subtle,20090905_104901_s4h1A.fts,genuine,240.0,-15.0,0.00085631,13.0,234.2911,-19.2787,167.6397,,,
20090905_124901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,,,,,,,,20090905_124901_s4h1A.fts,radiation_streaks,very_subtle,20090905_124901_s4h1A.fts,genuine,240.0,-15.0,0.00082444,13.0,234.3803,-19.2984,167.6621,,,
20090905_132901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,,,,,,,,20090905_132901_s4h1A.fts,radiation_streaks,very_subtle,20090905_132901_s4h1A.fts,genuine,,,,,,,,,,
20090905_140901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,240.0,-15.0,0.0010958,15.0,234.4404,-19.311,167.685,20090905_140901_s4h1A.fts,radiation_streaks,very_subtle,20090905_140901_s4h1A.fts,genuine,240.0,-25.0,0.00062515,15.0,234.4408,-19.3108,167.6934,-0.0003999999999848569,-0.00019999999999953388,-0.008399999999994634
20090905_204901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,,,,,,,,20090905_204901_s4h1A.fts,radiation_streaks,very_subtle,20090905_204901_s4h1A.fts,genuine,240.0,-15.0,0.00071433,13.0,234.7392,-19.3772,167.7818,,,
20090905_212901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,,,,,,,,20090905_212901_s4h1A.fts,radiation_streaks,very_subtle,20090905_212901_s4h1A.fts,genuine,240.0,-15.0,0.00074321,14.0,234.769,-19.3837,167.8008,,,
20090905_220901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,240.0,-15.0,0.00054922,13.0,234.7993,-19.3905,167.8004,20090905_220901_s4h1A.fts,radiation_streaks,very_subtle,20090905_220901_s4h1A.fts,genuine,240.0,-15.0,0.00055687,13.0,234.7993,-19.3897,167.8116,0.0,-0.0007999999999981355,-0.01120000000000232
20090905_224901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,240.0,-15.0,0.00063637,14.0,234.8281,-19.397,167.8144,20090905_224901_s4h1A.fts,radiation_streaks,very_subtle,20090905_224901_s4h1A.fts,genuine,240.0,-15.0,0.00054566,13.0,234.8291,-19.3965,167.8217,-0.0010000000000047748,-0.0004999999999988347,-0.0072999999999865395
20090906_040901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,240.0,-15.0,0.00066292,14.0,235.0685,-19.4491,167.8976,20090906_040901_s4h1A.fts,radiation_streaks,very_subtle,20090906_040901_s4h1A.fts,genuine,240.0,-15.0,0.00069166,13.0,235.0681,-19.4495,167.8935,0.0004000000000132786,0.00039999999999906777,0.004100000000022419
20090906_044901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,,,,,,,,20090906_044901_s4h1A.fts,radiation_streaks,very_subtle,20090906_044901_s4h1A.fts,genuine,240.0,-15.0,0.00064996,14.0,235.0982,-19.4559,167.9123,,,
20090906_052901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,240.0,-15.0,0.00070901,13.0,235.128,-19.4636,167.9066,20090906_052901_s4h1A.fts,radiation_streaks,very_subtle,20090906_052901_s4h1A.fts,genuine,240.0,-15.0,0.00064149,14.0,235.1279,-19.4632,167.91,9.999999997489795e-05,-0.00039999999999906777,-0.0033999999999991815
20090906_060901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,,,,,,,,20090906_060901_s4h1A.fts,radiation_streaks,very_subtle,20090906_060901_s4h1A.fts,genuine,240.0,-15.0,0.00064083,14.0,235.1578,-19.4696,167.9198,,,
20090906_064901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,240.0,-15.0,0.00091182,14.0,235.188,-19.4756,167.9379,20090906_064901_s4h1A.fts,radiation_streaks,very_subtle,20090906_064901_s4h1A.fts,genuine,240.0,-15.0,0.00071479,13.0,235.1882,-19.4759,167.927,-0.0002000000000066393,0.0002999999999993008,0.010900000000020782
20090906_072901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,240.0,-15.0,0.001568,14.0,235.2192,-19.483,167.9393,20090906_072901_s4h1A.fts,radiation_streaks,very_subtle,20090906_072901_s4h1A.fts,genuine,240.0,-15.0,0.00088392,14.0,235.2177,-19.4826,167.9379,0.0014999999999929514,-0.00039999999999906777,0.0013999999999896318
20090906_080901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,240.0,-15.0,0.00089521,13.0,235.2489,-19.4899,167.9516,20090906_080901_s4h1A.fts,radiation_streaks,very_subtle,20090906_080901_s4h1A.fts,genuine,240.0,-15.0,0.00093216,14.0,235.2482,-19.4896,167.9473,0.0006999999999948159,-0.0002999999999993008,0.004300000000000637
20090906_084901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,240.0,-15.0,0.0015339,14.0,235.2794,-19.4965,167.96,20090906_084901_s4h1A.fts,radiation_streaks,very_subtle,20090906_084901_s4h1A.fts,genuine,240.0,-15.0,0.0010098,16.0,235.2783,-19.495,167.9648,0.0011000000000080945,-0.0015000000000000568,-0.004799999999988813
20090906_092901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,240.0,-15.0,0.00087099,11.0,235.3082,-19.503,167.9722,20090906_092901_s4h1A.fts,radiation_streaks,very_subtle,20090906_092901_s4h1A.fts,genuine,240.0,-15.0,0.00069896,15.0,235.3076,-19.5012,167.9778,0.0005999999999914962,-0.0017999999999993577,-0.0056000000000153705
20090906_100901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,240.0,-15.0,0.00089246,13.0,235.3374,-19.5089,167.9747,20090906_100901_s4h1A.fts,radiation_streaks,very_subtle,20090906_100901_s4h1A.fts,genuine,240.0,-15.0,0.0010045,14.0,235.3372,-19.5093,167.9758,0.0002000000000066393,0.00039999999999906777,-0.0010999999999796728
20090906_104901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,240.0,-15.0,0.00086406,11.0,235.3682,-19.5155,167.9953,20090906_104901_s4h1A.fts,radiation_streaks,very_subtle,20090906_104901_s4h1A.fts,genuine,240.0,-15.0,0.00095894,14.0,235.3674,-19.5158,167.9884,0.0007999999999981355,0.0002999999999993008,0.006899999999973261
20090906_112901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,240.0,-15.0,0.00088553,13.0,235.3978,-19.5221,167.9933,20090906_112901_s4h1A.fts,radiation_streaks,very_subtle,20090906_112901_s4h1A.fts,genuine,240.0,-15.0,0.0010156,14.0,235.3971,-19.5213,167.9971,0.0006999999999948159,-0.0007999999999981355,-0.0037999999999840384
20090906_120901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,,,,,,,,20090906_120901_s4h1A.fts,radiation_streaks,very_subtle,20090906_120901_s4h1A.fts,genuine,240.0,-25.0,0.0012246,20.0,235.4284,-19.5284,168.0105,,,
20090906_124901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,240.0,-15.0,0.0010568,13.0,235.4587,-19.5355,168.0236,20090906_124901_s4h1A.fts,radiation_streaks,very_subtle,20090906_124901_s4h1A.fts,genuine,240.0,-15.0,0.0013694,14.0,235.4565,-19.5344,168.0248,0.0021999999999877673,-0.0010999999999974364,-0.0012000000000114142
20090906_132901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,,,,,,,,20090906_132901_s4h1A.fts,radiation_streaks,very_subtle,20090906_132901_s4h1A.fts,genuine,240.0,-15.0,0.0010447,13.0,235.4883,-19.5411,168.034,,,
20090906_140901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,,,,,,,,20090906_140901_s4h1A.fts,radiation_streaks,very_subtle,20090906_140901_s4h1A.fts,genuine,240.0,-15.0,0.0012897,14.0,235.5183,-19.5477,168.0454,,,
20090906_144901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,,,,,,,,20090906_144901_s4h1A.fts,radiation_streaks,very_subtle,20090906_144901_s4h1A.fts,genuine,240.0,-15.0,0.00079704,11.0,235.5485,-19.5534,168.0533,,,
20090906_152901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,240.0,-15.0,0.00092781,11.0,235.5783,-19.5602,168.064,20090906_152901_s4h1A.fts,radiation_streaks,very_subtle,20090906_152901_s4h1A.fts,genuine,240.0,-15.0,0.0008127,11.0,235.5788,-19.5603,168.0615,-0.0004999999999881766,0.00010000000000331966,0.0024999999999977263
20090906_160901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,,,,,,,,20090906_160901_s4h1A.fts,radiation_streaks,very_subtle,20090906_160901_s4h1A.fts,genuine,240.0,-15.0,0.00032823,12.0,235.6085,-19.5662,168.0729,,,
20090906_172901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,,,,,,,,20090906_172901_s4h1A.fts,radiation_streaks,very_subtle,20090906_172901_s4h1A.fts,genuine,240.0,-15.0,0.00070185,13.0,235.6684,-19.5802,168.092,,,
20090906_180901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,,,,,,,,20090906_180901_s4h1A.fts,radiation_streaks,very_subtle,20090906_180901_s4h1A.fts,genuine,240.0,-15.0,0.00096384,15.0,235.6969,-19.5858,168.1036,,,
20090906_184901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,,,,,,,,20090906_184901_s4h1A.fts,radiation_streaks,very_subtle,20090906_184901_s4h1A.fts,genuine,240.0,-15.0,0.0010934,16.0,235.7287,-19.5936,168.1091,,,
20090906_192901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,,,,,,,,20090906_192901_s4h1A.fts,radiation_streaks,very_subtle,20090906_192901_s4h1A.fts,genuine,240.0,-15.0,0.001094,16.0,235.7591,-19.5985,168.1215,,,
20090906_204901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,,,,,,,,20090906_204901_s4h1A.fts,radiation_streaks,very_subtle,20090906_204901_s4h1A.fts,genuine,240.0,-15.0,0.0011101,16.0,235.8181,-19.6119,168.1439,,,
20090906_212901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,,,,,,,,20090906_212901_s4h1A.fts,radiation_streaks,very_subtle,20090906_212901_s4h1A.fts,genuine,240.0,-15.0,0.0011362,16.0,235.8483,-19.6179,168.1566,,,
20090906_220901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,,,,,,,,20090906_220901_s4h1A.fts,radiation_streaks,very_subtle,20090906_220901_s4h1A.fts,genuine,,,,,,,,,,
20090906_224901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,,,,,,,,20090906_224901_s4h1A.fts,radiation_streaks,very_subtle,20090906_224901_s4h1A.fts,genuine,240.0,-15.0,0.00058874,13.0,235.9087,-19.6326,168.172,,,
20090906_232901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,,,,,,,,20090906_232901_s4h1A.fts,radiation_streaks,very_subtle,20090906_232901_s4h1A.fts,genuine,240.0,-15.0,0.00075535,14.0,235.9372,-19.6375,168.1847,,,
20090907_000901_s4h1A__radiation_streaks__very_subtle.fts,adversarial,,,,,,,,20090907_000901_s4h1A.fts,radiation_streaks,very_subtle,20090907_000901_s4h1A.fts,genuine,240.0,-15.0,0.00088531,16.0,235.9673,-19.6439,168.1965,,,
