filename_adv,type_adv,RA_center_adv,DEC_center_adv,sig_adv,Nr_adv,RA_adv,DEC_adv,Roll_adv,base_name,attack,level,filename_gen,type_gen,RA_center_gen,DEC_center_gen,sig_gen,Nr_gen,RA_gen,DEC_gen,Roll_gen,RA_error,DEC_error,Roll_error
20090824_060901_s4h1A__tiny_noise__very_subtle.fts,adversarial,220.0,-15.0,0.00039429,6.0,221.3928,-15.912,163.7229,20090824_060901_s4h1A.fts,tiny_noise,very_subtle,20090824_060901_s4h1A.fts,genuine,,,,,,,,,,
20090824_064901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090824_064901_s4h1A.fts,tiny_noise,very_subtle,20090824_064901_s4h1A.fts,genuine,220.0,-15.0,0.00079475,22.0,221.4201,-15.9175,163.6949,,,
20090824_072901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090824_072901_s4h1A.fts,tiny_noise,very_subtle,20090824_072901_s4h1A.fts,genuine,220.0,-15.0,0.00082378,22.0,221.4483,-15.9261,163.7058,,,
20090824_080901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090824_080901_s4h1A.fts,tiny_noise,very_subtle,20090824_080901_s4h1A.fts,genuine,,,,,,,,,,
20090824_084901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090824_084901_s4h1A.fts,tiny_noise,very_subtle,20090824_084901_s4h1A.fts,genuine,220.0,-15.0,0.0008325,22.0,221.506,-15.9427,163.7236,,,
20090824_092901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090824_092901_s4h1A.fts,tiny_noise,very_subtle,20090824_092901_s4h1A.fts,genuine,220.0,-15.0,0.00091978,22.0,221.5351,-15.9529,163.7273,,,
20090824_100901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090824_100901_s4h1A.fts,tiny_noise,very_subtle,20090824_100901_s4h1A.fts,genuine,220.0,-15.0,0.00086958,21.0,221.564,-15.9607,163.7367,,,
20090824_104901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090824_104901_s4h1A.fts,tiny_noise,very_subtle,20090824_104901_s4h1A.fts,genuine,220.0,-15.0,0.00097765,22.0,221.5926,-15.9706,163.7407,,,
20090824_112901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090824_112901_s4h1A.fts,tiny_noise,very_subtle,20090824_112901_s4h1A.fts,genuine,220.0,-15.0,0.00096756,22.0,221.6216,-15.9782,163.7489,,,
20090824_120901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090824_120901_s4h1A.fts,tiny_noise,very_subtle,20090824_120901_s4h1A.fts,genuine,220.0,-15.0,0.00096599,22.0,221.6506,-15.9872,163.7593,,,
20090824_124901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090824_124901_s4h1A.fts,tiny_noise,very_subtle,20090824_124901_s4h1A.fts,genuine,,,,,,,,,,
20090824_140901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090824_140901_s4h1A.fts,tiny_noise,very_subtle,20090824_140901_s4h1A.fts,genuine,220.0,-15.0,0.00095677,21.0,221.7374,-16.0123,163.7863,,,
20090824_144901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090824_144901_s4h1A.fts,tiny_noise,very_subtle,20090824_144901_s4h1A.fts,genuine,220.0,-15.0,0.00092179,21.0,221.7655,-16.0216,163.7922,,,
20090824_152901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090824_152901_s4h1A.fts,tiny_noise,very_subtle,20090824_152901_s4h1A.fts,genuine,220.0,-15.0,0.00099616,21.0,221.7953,-16.0307,163.7985,,,
20090824_164901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090824_164901_s4h1A.fts,tiny_noise,very_subtle,20090824_164901_s4h1A.fts,genuine,220.0,-15.0,0.00099727,21.0,221.8526,-16.0469,163.814,,,
20090824_172901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090824_172901_s4h1A.fts,tiny_noise,very_subtle,20090824_172901_s4h1A.fts,genuine,,,,,,,,,,
20090824_180901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090824_180901_s4h1A.fts,tiny_noise,very_subtle,20090824_180901_s4h1A.fts,genuine,220.0,-15.0,0.001261,20.0,221.9105,-16.0642,163.8312,,,
20090824_184901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090824_184901_s4h1A.fts,tiny_noise,very_subtle,20090824_184901_s4h1A.fts,genuine,220.0,-15.0,0.0011707,20.0,221.9406,-16.0754,163.8398,,,
20090824_192901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090824_192901_s4h1A.fts,tiny_noise,very_subtle,20090824_192901_s4h1A.fts,genuine,220.0,-15.0,0.00068545,19.0,221.9682,-16.0822,163.8482,,,
20090824_204901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090824_204901_s4h1A.fts,tiny_noise,very_subtle,20090824_204901_s4h1A.fts,genuine,220.0,-15.0,0.00073705,19.0,222.0261,-16.0991,163.8612,,,
20090824_212901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090824_212901_s4h1A.fts,tiny_noise,very_subtle,20090824_212901_s4h1A.fts,genuine,220.0,-15.0,0.00045843,16.0,222.055,-16.1102,163.8616,,,
20090824_220901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090824_220901_s4h1A.fts,tiny_noise,very_subtle,20090824_220901_s4h1A.fts,genuine,,,,,,,,,,
20090824_224901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090824_224901_s4h1A.fts,tiny_noise,very_subtle,20090824_224901_s4h1A.fts,genuine,220.0,-15.0,0.00038862,16.0,222.1129,-16.1233,163.8874,,,
20090824_232901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090824_232901_s4h1A.fts,tiny_noise,very_subtle,20090824_232901_s4h1A.fts,genuine,220.0,-15.0,0.00039088,16.0,222.1427,-16.1339,163.8975,,,
20090825_000901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090825_000901_s4h1A.fts,tiny_noise,very_subtle,20090825_000901_s4h1A.fts,genuine,220.0,-15.0,0.00041797,16.0,222.1722,-16.1426,163.9052,,,
20090825_004901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090825_004901_s4h1A.fts,tiny_noise,very_subtle,20090825_004901_s4h1A.fts,genuine,220.0,-15.0,0.00048202,16.0,222.1996,-16.149,163.9091,,,
20090825_012901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090825_012901_s4h1A.fts,tiny_noise,very_subtle,20090825_012901_s4h1A.fts,genuine,220.0,-15.0,0.00050863,16.0,222.2286,-16.1578,163.9203,,,
20090825_020901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090825_020901_s4h1A.fts,tiny_noise,very_subtle,20090825_020901_s4h1A.fts,genuine,,,,,,,,,,
20090825_024901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090825_024901_s4h1A.fts,tiny_noise,very_subtle,20090825_024901_s4h1A.fts,genuine,220.0,-15.0,0.00050923,16.0,222.2863,-16.178,163.935,,,
20090825_032901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090825_032901_s4h1A.fts,tiny_noise,very_subtle,20090825_032901_s4h1A.fts,genuine,220.0,-15.0,0.0005877,16.0,222.3178,-16.187,163.9383,,,
20090825_040901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090825_040901_s4h1A.fts,tiny_noise,very_subtle,20090825_040901_s4h1A.fts,genuine,220.0,-15.0,0.00050013,16.0,222.3456,-16.195,163.9483,,,
20090825_044901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090825_044901_s4h1A.fts,tiny_noise,very_subtle,20090825_044901_s4h1A.fts,genuine,220.0,-15.0,0.00074327,17.0,222.3754,-16.204,163.9573,,,
20090825_052901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090825_052901_s4h1A.fts,tiny_noise,very_subtle,20090825_052901_s4h1A.fts,genuine,220.0,-15.0,0.00077531,17.0,222.4022,-16.2083,163.9703,,,
20090825_060901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090825_060901_s4h1A.fts,tiny_noise,very_subtle,20090825_060901_s4h1A.fts,genuine,220.0,-15.0,0.0008232,17.0,222.4328,-16.2206,163.9737,,,
20090825_100900_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090825_100900_s4h1A.fts,tiny_noise,very_subtle,20090825_100900_s4h1A.fts,genuine,220.0,-15.0,0.0006199,16.0,222.6044,-16.2724,164.0176,,,
20090825_104901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090825_104901_s4h1A.fts,tiny_noise,very_subtle,20090825_104901_s4h1A.fts,genuine,,,,,,,,,,
20090825_112901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090825_112901_s4h1A.fts,tiny_noise,very_subtle,20090825_112901_s4h1A.fts,genuine,220.0,-15.0,0.00090454,17.0,222.6621,-16.2831,164.0385,,,
20090825_120901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090825_120901_s4h1A.fts,tiny_noise,very_subtle,20090825_120901_s4h1A.fts,genuine,,,,,,,,,,
20090825_124901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090825_124901_s4h1A.fts,tiny_noise,very_subtle,20090825_124901_s4h1A.fts,genuine,270.0,-25.0,0.00087347,17.0,222.7205,-16.2986,164.057,,,
20090825_132901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090825_132901_s4h1A.fts,tiny_noise,very_subtle,20090825_132901_s4h1A.fts,genuine,220.0,-15.0,0.00079033,16.0,222.7493,-16.3091,164.0612,,,
20090825_140901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090825_140901_s4h1A.fts,tiny_noise,very_subtle,20090825_140901_s4h1A.fts,genuine,220.0,-15.0,0.00063692,16.0,222.7782,-16.3144,164.0756,,,
20090825_152901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090825_152901_s4h1A.fts,tiny_noise,very_subtle,20090825_152901_s4h1A.fts,genuine,220.0,-15.0,0.00068598,16.0,222.8362,-16.3351,164.0866,,,
20090825_160901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090825_160901_s4h1A.fts,tiny_noise,very_subtle,20090825_160901_s4h1A.fts,genuine,220.0,-15.0,0.00064887,16.0,222.8655,-16.3421,164.1001,,,
20090825_164901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090825_164901_s4h1A.fts,tiny_noise,very_subtle,20090825_164901_s4h1A.fts,genuine,220.0,-15.0,0.00066636,16.0,222.8948,-16.3491,164.1088,,,
20090825_180901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090825_180901_s4h1A.fts,tiny_noise,very_subtle,20090825_180901_s4h1A.fts,genuine,260.0,-45.0,0.00079874,16.0,222.9519,-16.3682,164.1223,,,
20090825_184901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090825_184901_s4h1A.fts,tiny_noise,very_subtle,20090825_184901_s4h1A.fts,genuine,,,,,,,,,,
20090825_200901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090825_200901_s4h1A.fts,tiny_noise,very_subtle,20090825_200901_s4h1A.fts,genuine,220.0,-15.0,0.00076628,16.0,223.0396,-16.3916,164.151,,,
20090825_212901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090825_212901_s4h1A.fts,tiny_noise,very_subtle,20090825_212901_s4h1A.fts,genuine,220.0,-15.0,0.00076852,16.0,223.0986,-16.4128,164.1591,,,
20090825_224901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090825_224901_s4h1A.fts,tiny_noise,very_subtle,20090825_224901_s4h1A.fts,genuine,220.0,-15.0,0.0007827,16.0,223.1554,-16.4311,164.1705,,,
20090825_232901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090825_232901_s4h1A.fts,tiny_noise,very_subtle,20090825_232901_s4h1A.fts,genuine,220.0,-15.0,0.00091747,16.0,223.1855,-16.4398,164.1779,,,
20090826_000901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090826_000901_s4h1A.fts,tiny_noise,very_subtle,20090826_000901_s4h1A.fts,genuine,220.0,-15.0,0.00081108,16.0,223.2131,-16.4427,164.1949,,,
20090826_004901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090826_004901_s4h1A.fts,tiny_noise,very_subtle,20090826_004901_s4h1A.fts,genuine,220.0,-15.0,0.00093256,16.0,223.2432,-16.4553,164.2011,,,
20090826_024901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090826_024901_s4h1A.fts,tiny_noise,very_subtle,20090826_024901_s4h1A.fts,genuine,220.0,-15.0,0.0010214,16.0,223.331,-16.4807,164.2231,,,
