filename_adv,type_adv,RA_center_adv,DEC_center_adv,sig_adv,Nr_adv,RA_adv,DEC_adv,Roll_adv,base_name,attack,level,filename_gen,type_gen,RA_center_gen,DEC_center_gen,sig_gen,Nr_gen,RA_gen,DEC_gen,Roll_gen,RA_error,DEC_error,Roll_error
20091007_204901_s4h1A__salt_pepper__moderate.fts,adversarial,,,,,,,,20091007_204901_s4h1A.fts,salt_pepper,moderate,20091007_204901_s4h1A.fts,genuine,270.0,-25.0,0.00048574,29.0,270.3275,-23.255,-178.7917,,,
20091007_212901_s4h1A__salt_pepper__moderate.fts,adversarial,,,,,,,,20091007_212901_s4h1A.fts,salt_pepper,moderate,20091007_212901_s4h1A.fts,genuine,270.0,-25.0,0.00052488,29.0,270.3587,-23.2539,-178.7757,,,
20091007_220901_s4h1A__salt_pepper__moderate.fts,adversarial,,,,,,,,20091007_220901_s4h1A.fts,salt_pepper,moderate,20091007_220901_s4h1A.fts,genuine,270.0,-25.0,0.00046442,29.0,270.391,-23.2538,-178.7664,,,
20091007_224901_s4h1A__salt_pepper__moderate.fts,adversarial,,,,,,,,20091007_224901_s4h1A.fts,salt_pepper,moderate,20091007_224901_s4h1A.fts,genuine,,,,,,,,,,
20091007_232901_s4h1A__salt_pepper__moderate.fts,adversarial,,,,,,,,20091007_232901_s4h1A.fts,salt_pepper,moderate,20091007_232901_s4h1A.fts,genuine,270.0,-25.0,0.00047665,29.0,270.4522,-23.2556,-178.7406,,,
20091008_000901_s4h1A__salt_pepper__moderate.fts,adversarial,,,,,,,,20091008_000901_s4h1A.fts,salt_pepper,moderate,20091008_000901_s4h1A.fts,genuine,270.0,-25.0,0.00047466,29.0,270.4856,-23.2531,-178.7308,,,
20091008_004901_s4h1A__salt_pepper__moderate.fts,adversarial,,,,,,,,20091008_004901_s4h1A.fts,salt_pepper,moderate,20091008_004901_s4h1A.fts,genuine,270.0,-25.0,0.00046737,30.0,270.5141,-23.2555,-178.7089,,,
20091008_012901_s4h1A__salt_pepper__moderate.fts,adversarial,,,,,,,,20091008_012901_s4h1A.fts,salt_pepper,moderate,20091008_012901_s4h1A.fts,genuine,,,,,,,,,,
20091008_020901_s4h1A__salt_pepper__moderate.fts,adversarial,,,,,,,,20091008_020901_s4h1A.fts,salt_pepper,moderate,20091008_020901_s4h1A.fts,genuine,270.0,-25.0,0.00047775,30.0,270.5769,-23.2554,-178.6892,,,
20091008_024901_s4h1A__salt_pepper__moderate.fts,adversarial,,,,,,,,20091008_024901_s4h1A.fts,salt_pepper,moderate,20091008_024901_s4h1A.fts,genuine,270.0,-25.0,0.00048717,30.0,270.6086,-23.2554,-178.6758,,,
20091008_032901_s4h1A__salt_pepper__moderate.fts,adversarial,,,,,,,,20091008_032901_s4h1A.fts,salt_pepper,moderate,20091008_032901_s4h1A.fts,genuine,270.0,-25.0,0.00051164,29.0,270.6402,-23.2537,-178.6619,,,
20091008_040901_s4h1A__salt_pepper__moderate.fts,adversarial,,,,,,,,20091008_040901_s4h1A.fts,salt_pepper,moderate,20091008_040901_s4h1A.fts,genuine,270.0,-25.0,0.00049389,30.0,270.6708,-23.2544,-178.6435,,,
