filename_adv,type_adv,RA_center_adv,DEC_center_adv,sig_adv,Nr_adv,RA_adv,DEC_adv,Roll_adv,base_name,attack,level,filename_gen,type_gen,RA_center_gen,DEC_center_gen,sig_gen,Nr_gen,RA_gen,DEC_gen,Roll_gen,RA_error,DEC_error,Roll_error
20090111_000901_s4h1A__star_spoofing__very_heavy.fts,adversarial,,,,,,,,20090111_000901_s4h1A.fts,star_spoofing,very_heavy,20090111_000901_s4h1A.fts,genuine,350.0,-5.0,0.00045005,22.0,348.4455,-4.7063,-155.9642,,,
20090111_004901_s4h1A__star_spoofing__very_heavy.fts,adversarial,,,,,,,,20090111_004901_s4h1A.fts,star_spoofing,very_heavy,20090111_004901_s4h1A.fts,genuine,350.0,-5.0,0.00043107,22.0,348.472,-4.6959,-155.9581,,,
20090111_012901_s4h1A__star_spoofing__very_heavy.fts,adversarial,,,,,,,,20090111_012901_s4h1A.fts,star_spoofing,very_heavy,20090111_012901_s4h1A.fts,genuine,350.0,-5.0,0.00040606,22.0,348.4986,-4.6836,-155.9573,,,
20090111_024901_s4h1A__star_spoofing__very_heavy.fts,adversarial,,,,,,,,20090111_024901_s4h1A.fts,star_spoofing,very_heavy,20090111_024901_s4h1A.fts,genuine,350.0,-5.0,0.00013104,17.0,348.5486,-4.6685,-155.912,,,
20090111_040901_s4h1A__star_spoofing__very_heavy.fts,adversarial,,,,,,,,20090111_040901_s4h1A.fts,star_spoofing,very_heavy,20090111_040901_s4h1A.fts,genuine,350.0,-5.0,0.00038908,22.0,348.6022,-4.6455,-155.9093,,,
20090111_044901_s4h1A__star_spoofing__very_heavy.fts,adversarial,,,,,,,,20090111_044901_s4h1A.fts,star_spoofing,very_heavy,20090111_044901_s4h1A.fts,genuine,350.0,-5.0,0.00034681,22.0,348.6286,-4.6343,-155.9023,,,
20090111_052901_s4h1A__star_spoofing__very_heavy.fts,adversarial,,,,,,,,20090111_052901_s4h1A.fts,star_spoofing,very_heavy,20090111_052901_s4h1A.fts,genuine,350.0,-5.0,0.00031583,22.0,348.6555,-4.6238,-155.9028,,,
20090111_064901_s4h1A__star_spoofing__very_heavy.fts,adversarial,,,,,,,,20090111_064901_s4h1A.fts,star_spoofing,very_heavy,20090111_064901_s4h1A.fts,genuine,350.0,-5.0,0.00047591,23.0,348.7089,-4.6024,-155.8962,,,
20090111_072901_s4h1A__star_spoofing__very_heavy.fts,adversarial,,,,,,,,20090111_072901_s4h1A.fts,star_spoofing,very_heavy,20090111_072901_s4h1A.fts,genuine,350.0,-5.0,0.00038348,23.0,348.7353,-4.5916,-155.8946,,,
20090111_080901_s4h1A__star_spoofing__very_heavy.fts,adversarial,,,,,,,,20090111_080901_s4h1A.fts,star_spoofing,very_heavy,20090111_080901_s4h1A.fts,genuine,350.0,-5.0,0.0004391,23.0,348.7617,-4.5801,-155.8988,,,
